player_display_name,recent_team,season,week,season_type,fantasy_points
Tyler Bass,BUF,2023,16,REG,6.0
Tyler Bass,BUF,2023,17,REG,9.0
Tyler Bass,BUF,2023,18,REG,3.0
Matt Ammendola,HOU,2023,10,REG,13.0
Matt Ammendola,HOU,2023,11,REG,3.0
Matt Ammendola,HOU,2023,12,REG,3.0
Matt Ammendola,HOU,2023,13,REG,10.0
Matt Ammendola,HOU,2023,14,REG,0.0
Riley Patterson,DET,2023,1,REG,3.0
Riley Patterson,DET,2023,2,REG,7.0
Riley Patterson,DET,2023,3,REG,8.0
Riley Patterson,DET,2023,4,REG,10.0
Riley Patterson,DET,2023,5,REG,6.0
Riley Patterson,DET,2023,6,REG,8.0
Riley Patterson,DET,2023,8,REG,17.0
Riley Patterson,DET,2023,10,REG,12.0
Riley Patterson,DET,2023,11,REG,3.0
Riley Patterson,DET,2023,12,REG,0.0
Riley Patterson,DET,2023,13,REG,9.0
Riley Patterson,DET,2023,14,REG,1.0
Riley Patterson,CLE,2023,17,REG,7.0
Riley Patterson,CLE,2023,18,REG,2.0
Evan McPherson,CIN,2023,1,REG,4.0
Evan McPherson,CIN,2023,2,REG,6.0
Evan McPherson,CIN,2023,3,REG,19.0
Evan McPherson,CIN,2023,4,REG,3.0
Evan McPherson,CIN,2023,5,REG,12.0
Evan McPherson,CIN,2023,6,REG,7.0
Evan McPherson,CIN,2023,8,REG,9.0
Evan McPherson,CIN,2023,9,REG,6.0
Evan McPherson,CIN,2023,10,REG,11.0
Evan McPherson,CIN,2023,11,REG,10.0
Evan McPherson,CIN,2023,12,REG,5.0
Evan McPherson,CIN,2023,13,REG,13.0
Evan McPherson,CIN,2023,14,REG,10.0
Evan McPherson,CIN,2023,15,REG,9.0
Evan McPherson,CIN,2023,16,REG,3.0
Evan McPherson,CIN,2023,17,REG,5.0
Evan McPherson,CIN,2023,18,REG,8.0
Cameron Dicker,LAC,2023,1,REG,12.0
Cameron Dicker,LAC,2023,2,REG,10.0
Cameron Dicker,LAC,2023,3,REG,4.0
Cameron Dicker,LAC,2023,4,REG,6.0
Cameron Dicker,LAC,2023,6,REG,5.0
Cameron Dicker,LAC,2023,7,REG,7.0
Cameron Dicker,LAC,2023,8,REG,16.0
Cameron Dicker,LAC,2023,9,REG,11.0
Cameron Dicker,LAC,2023,10,REG,9.0
Cameron Dicker,LAC,2023,11,REG,8.0
Cameron Dicker,LAC,2023,12,REG,4.0
Cameron Dicker,LAC,2023,13,REG,6.0
Cameron Dicker,LAC,2023,14,REG,1.0
Cameron Dicker,LAC,2023,15,REG,3.0
Cameron Dicker,LAC,2023,16,REG,21.0
Cameron Dicker,LAC,2023,17,REG,13.0
Cameron Dicker,LAC,2023,18,REG,15.0
Brandon Aubrey,DAL,2023,1,REG,10.0
Brandon Aubrey,DAL,2023,2,REG,18.0
Brandon Aubrey,DAL,2023,3,REG,11.0
Brandon Aubrey,DAL,2023,4,REG,12.0
Brandon Aubrey,DAL,2023,5,REG,6.0
Brandon Aubrey,DAL,2023,6,REG,8.0
Brandon Aubrey,DAL,2023,8,REG,13.0
Brandon Aubrey,DAL,2023,9,REG,7.0
Brandon Aubrey,DAL,2023,10,REG,7.0
Brandon Aubrey,DAL,2023,11,REG,9.0
Brandon Aubrey,DAL,2023,12,REG,9.0
Brandon Aubrey,DAL,2023,13,REG,15.0
Brandon Aubrey,DAL,2023,14,REG,22.0
Brandon Aubrey,DAL,2023,15,REG,4.0
Brandon Aubrey,DAL,2023,16,REG,9.0
Brandon Aubrey,DAL,2023,17,REG,11.0
Brandon Aubrey,DAL,2023,18,REG,10.0
Lucas Havrisik,LA,2023,8,REG,7.0
Lucas Havrisik,LA,2023,9,REG,5.0
Lucas Havrisik,LA,2023,11,REG,5.0
Lucas Havrisik,LA,2023,12,REG,7.0
Lucas Havrisik,LA,2023,13,REG,11.0
Lucas Havrisik,LA,2023,14,REG,13.0
Lucas Havrisik,LA,2023,15,REG,8.0
Lucas Havrisik,LA,2023,16,REG,12.0
Lucas Havrisik,LA,2023,17,REG,2.0
Anders Carlson,GB,2023,1,REG,10.0
Anders Carlson,GB,2023,2,REG,6.0
Anders Carlson,GB,2023,3,REG,4.0
Anders Carlson,GB,2023,4,REG,8.0
Anders Carlson,GB,2023,5,REG,7.0
Anders Carlson,GB,2023,7,REG,5.0
Anders Carlson,GB,2023,8,REG,4.0
Anders Carlson,GB,2023,9,REG,8.0
Anders Carlson,GB,2023,10,REG,7.0
Anders Carlson,GB,2023,11,REG,5.0
Anders Carlson,GB,2023,12,REG,6.0
Anders Carlson,GB,2023,13,REG,11.0
Anders Carlson,GB,2023,14,REG,11.0
Anders Carlson,GB,2023,15,REG,8.0
Anders Carlson,GB,2023,16,REG,11.0
Anders Carlson,GB,2023,17,REG,9.0
Anders Carlson,GB,2023,18,REG,5.0
Jake Moody,SF,2023,1,REG,14.0
Jake Moody,SF,2023,2,REG,14.0
Jake Moody,SF,2023,3,REG,12.0
Jake Moody,SF,2023,4,REG,5.0
Jake Moody,SF,2023,5,REG,6.0
Jake Moody,SF,2023,6,REG,5.0
Jake Moody,SF,2023,7,REG,7.0
Jake Moody,SF,2023,8,REG,5.0
Jake Moody,SF,2023,10,REG,10.0
Jake Moody,SF,2023,11,REG,9.0
Jake Moody,SF,2023,12,REG,7.0
Jake Moody,SF,2023,13,REG,6.0
Jake Moody,SF,2023,14,REG,4.0
Jake Moody,SF,2023,15,REG,10.0
Jake Moody,SF,2023,16,REG,6.0
Jake Moody,SF,2023,17,REG,9.0
Jake Moody,SF,2023,18,REG,2.0
Chad Ryland,NE,2023,1,REG,2.0
Chad Ryland,NE,2023,2,REG,6.0
Chad Ryland,NE,2023,3,REG,10.0
Chad Ryland,NE,2023,4,REG,3.0
Chad Ryland,NE,2023,5,REG,0.0
Chad Ryland,NE,2023,6,REG,6.0
Chad Ryland,NE,2023,7,REG,12.0
Chad Ryland,NE,2023,8,REG,5.0
Chad Ryland,NE,2023,9,REG,6.0
Chad Ryland,NE,2023,10,REG,6.0
Chad Ryland,NE,2023,12,REG,1.0
Chad Ryland,NE,2023,14,REG,3.0
Chad Ryland,NE,2023,15,REG,5.0
Chad Ryland,NE,2023,16,REG,10.0
Chad Ryland,NE,2023,17,REG,3.0
Chad Ryland,NE,2023,18,REG,3.0
Blake Grupe,NO,2023,1,REG,12.0
Blake Grupe,NO,2023,2,REG,8.0
Blake Grupe,NO,2023,3,REG,5.0
Blake Grupe,NO,2023,4,REG,10.0
Blake Grupe,NO,2023,5,REG,14.0
Blake Grupe,NO,2023,6,REG,9.0
Blake Grupe,NO,2023,7,REG,11.0
Blake Grupe,NO,2023,8,REG,8.0
Blake Grupe,NO,2023,9,REG,8.0
Blake Grupe,NO,2023,10,REG,4.0
Blake Grupe,NO,2023,12,REG,19.0
Blake Grupe,NO,2023,13,REG,4.0
Blake Grupe,NO,2023,14,REG,4.0
Blake Grupe,NO,2023,15,REG,8.0
Blake Grupe,NO,2023,16,REG,2.0
Blake Grupe,NO,2023,17,REG,12.0
Blake Grupe,NO,2023,18,REG,12.0
