name,pos,team,adp,mu,player_id,mu_hat,sigma_hat,is_rookie
Omarion Hampton,RB,LAC,41.2,220.0371375480094,42,198.03342379320847,66.66788320816994,True
Garrett Wilson,WR,NYJ,41.6,238.04957374509883,43,236.98437773492952,36.65572176013524,False
George Kittle,TE,SF,43.8,238.6002609105392,44,240.51877149990764,40.07733791802458,False
DJ Moore,WR,BUF,44.6,232.26142296734326,45,236.2007503957583,38.08757284392687,False
DeVonta Smith,WR,PHI,45.4,226.6140104774113,46,232.71651355293352,44.680286672684346,False
Kenneth Walker III,RB,KC,46.9,213.3698635406343,47,224.85418035863313,53.58842585531375,False
Tetairoa McMillan,WR,CAR,47.3,221.10391423838306,48,198.99352281454475,64.56893733631956,True
Courtland Sutton,WR,DEN,48.1,215.7277954198126,49,217.30443145257152,32.292752729873925,False
Breece Hall,RB,NYJ,49.1,206.90461244259524,50,225.69290013968833,58.83029529160198,False
Xavier Worthy,WR,KC,49.3,210.4823963745711,51,207.00767746219975,37.160916553030304,False
TreVeyon Henderson,RB,NE,51.3,200.6352628231768,52,180.57173654085912,77.08062248002231,True
Patrick Mahomes,QB,KC,51.9,279.3537626248401,53,292.59221933441853,37.81893144391113,False
Baker Mayfield,QB,TB,52.0,262.68103027681923,54,275.9309023493248,37.921453062742685,False
Jerry Jeudy,WR,CLE,56.5,205.36453866488296,55,206.67434780093618,35.93542173509292,False
Zay Flowers,WR,BAL,57.1,200.37112113635845,56,204.11257549312535,39.47012783375975,False
Tony Pollard,RB,TEN,57.3,194.55587873515228,57,202.57203826507407,33.35114430085225,False
Calvin Ridley,WR,TEN,57.5,195.49911803885635,58,200.16799985835073,38.239813064677676,False
D'Andre Swift,RB,CHI,58.1,188.66070409450836,59,198.06250952098162,34.755182019345,False
David Montgomery,RB,HOU,59.5,182.9441572304684,60,203.02115751040742,47.00164050165309,False
George Pickens,WR,DAL,59.6,190.7455771930373,61,192.51960079743193,40.82375316536678,False
Jameson Williams,WR,DET,61.7,186.10761820149742,62,187.10885932657027,32.514382703822704,False
RJ Harvey,RB,DEN,63.4,177.40082560065335,63,159.66074304058802,75.34516593471359,True
Sam LaPorta,TE,DET,63.6,220.25580109863498,64,215.7844453844291,32.49070723329876,False
Aaron Jones Sr.,RB,MIN,64.8,172.02546066637697,65,191.72851715699971,36.67744824578842,False
Jaylen Waddle,WR,DEN,64.8,181.58243070339793,66,190.38279852724224,37.88456620250958,False
Travis Kelce,TE,KC,65.8,203.32173038063343,67,214.79297429503526,38.74005878952024,False
Deebo Samuel Sr.,WR,FA01,67.8,177.16727267153328,68,194.20549410119185,42.19027224066698,False
Isiah Pacheco,RB,DET,68.9,166.8129729232231,69,172.12756662015056,32.751100408099,False
Bo Nix,QB,DEN,69.0,247.0033802979664,70,268.06236620857646,39.82521917410007,False
Brock Purdy,QB,SF,69.3,232.26142296734326,71,251.34071556059774,43.17411624226368,False
Chris Olave,WR,NO,71.4,172.8594687508061,72,184.07085132415824,49.44369638214728,False
Tyrone Tracy Jr.,RB,NYG,72.2,161.75842708219977,73,167.92089895753986,35.9394902777157,False
Jakobi Meyers,WR,JAX,73.6,168.65640863710155,74,188.6632454931483,31.405969123537872,False
David Njoku,TE,FA02,73.6,187.689612889979,75,192.89980391285312,34.155668065928246,False
Matthew Golden,WR,GB,74.9,164.55554549557954,76,148.0999909460216,68.02042038363474,True
T.J. Hockenson,TE,MIN,75.1,173.25934970571944,77,180.79717031095973,37.17609234785504,False
Jaylen Warren,RB,PIT,76.0,156.85703739690757,78,155.28641384484453,24.020612176907534,False
Kaleb Johnson,RB,PIT,76.2,152.10416313229814,79,136.89374681906833,66.66788320816995,True
Ricky Pearsall,WR,SF,78.3,160.5543944174258,80,160.07307609219805,40.740311905059464,False
Rome Odunze,WR,CHI,79.3,156.6505309141271,81,153.12537163988895,32.81430604191412,False
Stefon Diggs,WR,FA03,79.8,152.84158944835775,82,191.7462548642963,41.823127233800406,False
Jauan Jennings,WR,MIN,81.3,149.1252620005875,83,153.86475091547746,34.99262727665731,False
Kyler Murray,QB,MIN,82.5,218.3993131338505,84,244.91507805608643,44.3019630882197,False
Emeka Egbuka,WR,TB,84.6,145.49929667054258,85,130.94936700348833,68.02042038363474,True
Austin Ekeler,RB,FA04,84.8,147.49530417073194,86,178.19730364103063,44.744328306298584,False
Khalil Shakir,WR,BUF,84.8,141.9614963126714,87,147.85779206006288,28.20042067189535,False
Dak Prescott,QB,DAL,87.2,205.36453866488296,88,234.0312754073519,46.208982709624784,False
Mark Andrews,TE,BAL,87.7,159.93853787766815,89,175.30881163555532,39.84392435901746,False
Evan Engram,TE,DEN,91.1,147.64187873205358,90,159.61834207186607,32.38170210920562,False
Cooper Kupp,WR,SEA,92.4,138.50971720478944,91,181.31287998048734,51.869414324229076,False
J.K. Dobbins,RB,DEN,94.0,143.02609675117608,92,171.26853698067612,32.73623080346248,False
Rashee Rice,WR,KC,94.0,135.14186774909547,93,173.16307861080753,57.3236129846901,False
Darnell Mooney,WR,NYG,94.5,131.8559072047726,94,144.20321828491387,32.86311465268183,False
Jared Goff,QB,DET,96.1,193.10772152104997,95,225.92593870802662,39.332615615674506,False
Tyler Warren,TE,IND,98.2,136.29063166879206,96,122.66156850191285,56.91155054796687,True
Caleb Williams,QB,CHI,98.3,181.58243070339793,97,203.46970149237853,38.07715775084232,False
Keon Coleman,WR,BUF,100.0,128.64984445140593,98,133.79719880829182,29.660780967729238,False
Zach Charbonnet,RB,SEA,100.3,138.69230933750654,99,144.9326979316034,33.94080978285513,False
Jordan Addison,WR,MIN,100.9,125.52173678246763,100,157.865072010561,42.00436810210925,False
Javonte Williams,RB,DAL,101.6,134.48983861200446,101,145.97552574448602,41.44118693612315,False
Chris Godwin Jr.,WR,TB,102.1,122.4696887281382,102,164.93841007226683,38.390733926277434,False
